Date	Name	Year	Letterboxd URI	Rating	Rewatch	Tags	Watched Date
5/7/2020	Enemy	2013	https://boxd.it/189E3H	4			5/7/2020
5/11/2020	The Nice Guys	2016	https://boxd.it/18D4Kb	4	Yes		5/8/2020
5/10/2020	Bodied	2017	https://boxd.it/18vlUh	3			5/9/2020
5/11/2020	Intrigo: Dear Agnes	2019	https://boxd.it/18D4zn	1			5/10/2020
5/12/2020	Devs	2020	https://boxd.it/18IJw5	3			5/11/2020
5/13/2020	Bad Education	2019	https://boxd.it/18RbdV	3			5/12/2020
5/13/2020	The Social Network	2010	https://boxd.it/18STTN	5	Yes		5/13/2020
5/14/2020	The Killing of a Sacred Deer	2017	https://boxd.it/18Ymyf	3			5/13/2020
5/16/2020	The Nice Guys	2016	https://boxd.it/19bNOP	4	Yes		5/13/2020
5/16/2020	Baby Driver	2017	https://boxd.it/19bOah	4	Yes		5/15/2020
5/17/2020	Manchester by the Sea	2016	https://boxd.it/19fB4X	4	Yes		5/16/2020
5/19/2020	The Informant!	2009	https://boxd.it/19zN5j	3			5/19/2020
5/20/2020	The Half of It	2020	https://boxd.it/19DWzF	3			5/19/2020
5/20/2020	Dogtooth	2009	https://boxd.it/19FvF1	3			5/19/2020
5/22/2020	There Will Be Blood	2007	https://boxd.it/19T9rf	4			5/21/2020
5/24/2020	Hot Fuzz	2007	https://boxd.it/1a8EEJ	4	Yes		5/24/2020
5/26/2020	Bernie	2011	https://boxd.it/1akBaF	3			5/25/2020
5/26/2020	Alien	1979	https://boxd.it/1aoYMb	5			5/26/2020
5/26/2020	Uncut Gems	2019	https://boxd.it/1apoU1	3	Yes		5/26/2020
5/27/2020	DodgeBall: A True Underdog Story	2004	https://boxd.it/1aw5I5	4	Yes		5/27/2020
5/29/2020	Batman and Harley Quinn	2017	https://boxd.it/1aHlVr	3			5/28/2020
5/29/2020	Horrible Bosses 2	2014	https://boxd.it/1aIXKt	3			5/29/2020
5/30/2020	Law Abiding Citizen	2009	https://boxd.it/1aMWVj	3			5/29/2020
6/2/2020	Snowpiercer	2013	https://boxd.it/1b66Wp	4	Yes		6/1/2020
6/2/2020	Lost in Translation	2003	https://boxd.it/1b8BXd	2			6/2/2020
6/3/2020	Shutter Island	2010	https://boxd.it/1beOOv	4			6/3/2020
6/4/2020	I Think We're Alone Now	2018	https://boxd.it/1bjmO3	3			6/3/2020
6/5/2020	Everest	2015	https://boxd.it/1bnDvv	3			6/4/2020
6/5/2020	The Bling Ring	2013	https://boxd.it/1bqlYb	2			6/4/2020
6/5/2020	Mamma Mia!	2008	https://boxd.it/1bqOGZ	3			6/4/2020
6/6/2020	Dude, Where's My Car?	2000	https://boxd.it/1bx9BD	2			6/6/2020
6/6/2020	Sausage Party	2016	https://boxd.it/1bxxDt	1			6/6/2020
6/8/2020	48 Hrs.	1982	https://boxd.it/1bL4JF	2			6/7/2020
6/8/2020	Becky	2020	https://boxd.it/1bMefd	4			6/8/2020
6/9/2020	The Vast of Night	2019	https://boxd.it/1bTEo5	4			6/9/2020
6/11/2020	The Vindicator	1986	https://boxd.it/1c60Nv	2			6/11/2020
6/12/2020	Attack the Block	2011	https://boxd.it/1c9Wcj	4			6/11/2020
6/12/2020	To Catch a Thief	1955	https://boxd.it/1cbYvL	3			6/12/2020
6/14/2020	The King of Staten Island	2020	https://boxd.it/1cogP9	3			6/13/2020
6/15/2020	Metropolis	1927	https://boxd.it/1cxy65	5			6/15/2020
6/16/2020	Da 5 Bloods	2020	https://boxd.it/1cCc4h	2			6/15/2020
6/16/2020	Lock, Stock and Two Smoking Barrels	1998	https://boxd.it/1cCUmT	4			6/15/2020
6/17/2020	Tarzan	1999	https://boxd.it/1cJ9rr	4			6/17/2020
6/17/2020	The Lighthouse	2019	https://boxd.it/1cJPpH	5	Yes		6/17/2020
6/18/2020	The Princess and the Frog	2009	https://boxd.it/1cPulV	3			6/18/2020
6/20/2020	Take Me Somewhere Nice	2019	https://boxd.it/1cXL7R	4			6/19/2020
6/21/2020	Snatch	2000	https://boxd.it/1d7rrx	4			6/21/2020
6/23/2020	Two Ships	2012	https://boxd.it/1dkqJ7	2			6/23/2020
6/27/2020	Above the Rim	1994	https://boxd.it/1dGfbd	2			6/26/2020
6/29/2020	The Cabin in the Woods	2011	https://boxd.it/1dSbe7	4	Yes		6/28/2020
6/29/2020	2 in the AM PM	2006	https://boxd.it/1dSbIB	4	Yes		6/28/2020
6/29/2020	Popeye the Sailor Meets Sindbad the Sailor	1936	https://boxd.it/1dTCVp	4			6/28/2020
6/29/2020	Vivarium	2019	https://boxd.it/1dVgI3	3			6/29/2020
7/1/2020	Logan	2017	https://boxd.it/1e7luf	3	Yes		7/1/2020
7/2/2020	Arctic	2018	https://boxd.it/1ecYOt	3			7/1/2020
7/6/2020	13 Cameras	2015	https://boxd.it/1eBAOz	2			7/5/2020
7/7/2020	Hamilton	2020	https://boxd.it/1eH89Z	4			7/6/2020
7/8/2020	Breakwater	2019	https://boxd.it/1eQkYj	3			7/7/2020
7/10/2020	The Conjuring	2013	https://boxd.it/1f2PU7	2			7/10/2020
7/11/2020	Palm Springs	2020	https://boxd.it/1f5yHr	4			7/10/2020
7/11/2020	Archive	2020	https://boxd.it/1f9caN	4			7/10/2020
7/13/2020	The Outpost	2019	https://boxd.it/1fndmj	2			7/12/2020
7/14/2020	Volition	2019	https://boxd.it/1fvEg9	3			7/14/2020
7/16/2020	First Cow	2019	https://boxd.it/1fHoLz	4			7/15/2020
7/18/2020	Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan	2006	https://boxd.it/1fTxDN	4			7/17/2020
7/20/2020	Greyhound	2020	https://boxd.it/1g6hG3	3			7/19/2020
7/24/2020	Edge of Tomorrow	2014	https://boxd.it/1gt3Hn	4	Yes		7/22/2020
7/27/2020	Star Wars: The Last Jedi	2017	https://boxd.it/1gM4K1	4	Yes		7/25/2020
7/30/2020	22 Jump Street	2014	https://boxd.it/1h8Ux3	3			7/29/2020
8/3/2020	Animal Crackers	2017	https://boxd.it/1hyKgt	2			8/3/2020
8/10/2020	Jurassic Park	1993	https://boxd.it/1idAZv	4			8/8/2020
8/14/2020	Sister of Mine	2017	https://boxd.it/1iHn8N	3			8/14/2020
8/15/2020	Doctor Sleep	2019	https://boxd.it/1iMb53	4			8/14/2020
8/16/2020	Spree	2020	https://boxd.it/1iUfVX	4			8/16/2020
8/17/2020	Bliss	2019	https://boxd.it/1j2wZ9	1			8/17/2020
8/19/2020	Project Power	2020	https://boxd.it/1jcLy3	2			8/18/2020
8/22/2020	Pain & Gain	2013	https://boxd.it/1jshmX	3			8/21/2020
8/25/2020	Charlie's Angels	2019	https://boxd.it/1jMF6p	3			8/24/2020
8/26/2020	Thunderstruck	2012	https://boxd.it/1jV88F	2			8/25/2020
8/26/2020	Anastasia	1997	https://boxd.it/1jWi3H	4			8/26/2020
8/28/2020	Bill & Ted's Excellent Adventure	1989	https://boxd.it/1k87DX	4			8/27/2020
8/30/2020	Taxi	2015	https://boxd.it/1kmIP5	4			8/30/2020
9/1/2020	Joint Security Area	2000	https://boxd.it/1kB59p	4			8/31/2020
9/2/2020	Seeking a Friend for the End of the World	2012	https://boxd.it/1kHvXx	4			9/1/2020
9/4/2020	Overlord	2018	https://boxd.it/1kTvqx	4	Yes		9/4/2020
9/6/2020	Due Date	2010	https://boxd.it/1l784h	2			9/6/2020
9/8/2020	Insomnia	2002	https://boxd.it/1lipu9	4			9/7/2020
9/8/2020	In My Room	2020	https://boxd.it/1llZ69	3			9/7/2020
9/9/2020	Get Duked!	2019	https://boxd.it/1lo4nj	2			9/8/2020
9/12/2020	Baby Driver	2017	https://boxd.it/1lH1LP	4	Yes		9/11/2020
9/14/2020	I'm Thinking of Ending Things	2020	https://boxd.it/1lVor7	4			9/13/2020
9/16/2020	The Hateful Eight	2015	https://boxd.it/1mbxH1	4			9/15/2020
9/18/2020	Moneyball	2011	https://boxd.it/1mjQLd	5	Yes		9/16/2020
9/18/2020	Spider-Man: Into the Spider-Verse	2018	https://boxd.it/1mk6zd	4	Yes		9/17/2020
9/20/2020	Ocean's Twelve	2004	https://boxd.it/1mwy7b	3			9/18/2020
9/20/2020	The Man Who Killed Hitler and Then the Bigfoot	2018	https://boxd.it/1mwBNf	3			9/19/2020
9/20/2020	Bill & Ted's Bogus Journey	1991	https://boxd.it/1mzOGd	2			9/19/2020
9/22/2020	The Devil All the Time	2020	https://boxd.it/1mNDvB	4			9/21/2020
9/25/2020	Get Out	2017	https://boxd.it/1n1PMH	5	Yes		9/23/2020
9/26/2020	The Lighthouse	2019	https://boxd.it/1n6vq7	5	Yes		9/24/2020
9/26/2020	Ford v Ferrari	2019	https://boxd.it/1n6w5p	4	Yes		9/25/2020
10/2/2020	Us	2019	https://boxd.it/1nITeb	3	Yes		9/30/2020
10/5/2020	The Clovehitch Killer	2018	https://boxd.it/1o4lMn	3			10/3/2020
10/5/2020	Enola Holmes	2020	https://boxd.it/1o4nFD	2			10/4/2020
10/6/2020	Tenet	2020	https://boxd.it/1oegEj	4			10/5/2020
10/15/2020	The Lost Boys	1987	https://boxd.it/1pbrKF	3			10/15/2020
10/15/2020	Hubie Halloween	2020	https://boxd.it/1pbrY3	1			10/15/2020
10/18/2020	The New Mutants	2020	https://boxd.it/1ptjW5	3			10/17/2020
10/21/2020	Scream	1996	https://boxd.it/1pLuHr	3			10/21/2020
10/22/2020	mid90s	2018	https://boxd.it/1pSSz1	3			10/21/2020
10/27/2020	The Life Aquatic with Steve Zissou	2004	https://boxd.it/1qvpAd	4			10/26/2020
10/27/2020	Borat Subsequent Moviefilm	2020	https://boxd.it/1qySlH	4			10/27/2020
10/29/2020	The Kid Detective	2020	https://boxd.it/1qLm0t	4			10/28/2020
11/1/2020	Logan Lucky	2017	https://boxd.it/1r3UXb	4	Yes		10/31/2020
11/1/2020	High Life	2018	https://boxd.it/1r5eTP	2			10/31/2020
11/2/2020	Rushmore	1998	https://boxd.it/1riGAn	3			11/2/2020
11/5/2020	Alita: Battle Angel	2019	https://boxd.it/1ry8m9	1			11/4/2020
11/8/2020	1917	2019	https://boxd.it/1rPAh1	4	Yes		11/7/2020
11/13/2020	The Truman Show	1998	https://boxd.it/1smfY5	4	Yes		11/11/2020
11/14/2020	Shattered Glass	2003	https://boxd.it/1sosy9	4	Yes		11/13/2020
11/16/2020	The Peanut Butter Falcon	2019	https://boxd.it/1sGZEb	4	Yes		11/14/2020
11/26/2020	Prospect	2018	https://boxd.it/1tHsNb	4			11/25/2020
11/28/2020	We're the Millers	2013	https://boxd.it/1tTG31	2			11/27/2020
11/28/2020	Nimic	2019	https://boxd.it/1tTUOF	2			11/27/2020
11/28/2020	A Little Princess	1995	https://boxd.it/1tUxPR	3			11/27/2020
12/1/2020	Blow Out	1981	https://boxd.it/1ujtrL	3			12/1/2020
12/4/2020	Without a Clue	1988	https://boxd.it/1uBR9x	3			12/4/2020
12/7/2020	The Rider	2017	https://boxd.it/1v0j07	4			12/7/2020
12/10/2020	Mank	2020	https://boxd.it/1vizXv	3			12/9/2020
12/12/2020	About Time	2013	https://boxd.it/1vtjzJ	3			12/11/2020
12/12/2020	Ava	2020	https://boxd.it/1vtlpr	2			12/11/2020
12/13/2020	A Few Good Men	1992	https://boxd.it/1vBQwf	5	Yes		12/12/2020
12/14/2020	The Highwaymen	2019	https://boxd.it/1vLuy9	3			12/14/2020
12/15/2020	The History of the Seattle Mariners	2020	https://boxd.it/1vPlQB	4			12/14/2020
12/15/2020	The Girl from Parma	1963	https://boxd.it/1vQjzl	3			12/14/2020
12/16/2020	Moneyball	2011	https://boxd.it/1vVqi7	5	Yes		12/15/2020
12/17/2020	Doubt	2008	https://boxd.it/1w3dhL	3			12/16/2020
12/17/2020	Airplane!	1980	https://boxd.it/1w4b8z	4			12/17/2020
12/18/2020	Rudolph's Shiny New Year	1976	https://boxd.it/1w8t5B	2			12/17/2020
12/18/2020	The Year Without a Santa Claus	1974	https://boxd.it/1wa4nf	4			12/18/2020
12/19/2020	Yes, God, Yes	2019	https://boxd.it/1wgLCz	4			12/18/2020
12/23/2020	Marathon Man	1976	https://boxd.it/1wK22V	3			12/22/2020
12/25/2020	Major League	1989	https://boxd.it/1x44Yn	4			12/24/2020
12/25/2020	Wander	2020	https://boxd.it/1x4LuF	2			12/25/2020
12/26/2020	Wonder Woman 1984	2020	https://boxd.it/1xeQ0v	2			12/25/2020
12/26/2020	The Midnight Sky	2020	https://boxd.it/1xfYJF	2			12/26/2020
12/27/2020	Archenemy	2020	https://boxd.it/1xrOXL	3			12/27/2020
12/28/2020	Soul	2020	https://boxd.it/1xEaD3	4			12/28/2020
12/31/2020	Nocturnal Animals	2016	https://boxd.it/1y7bQ1	3			12/29/2020
12/31/2020	Lady Bird	2017	https://boxd.it/1y7dT7	4	Yes		12/29/2020
12/31/2020	Mistress America	2015	https://boxd.it/1y9qLf	4			12/31/2020
1/1/2021	Palm Springs	2020	https://boxd.it/1yh3A5	4	Yes		12/31/2020
